# 
# Header Description:
# 
# Version: v3.1.1.1 Platform: 16 Manufacturer: Google Model: Pixel 8a GNSS Hardware Model Name: S.LSI,K041,SPOTNAV_4.15.4_3_250220_R2_258342
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2,CalibrationAccuracy
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2,CalibrationAccuracy
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec,CalibrationAccuracy
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec,CalibrationAccuracy
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT,CalibrationAccuracy
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT,CalibrationAccuracy
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa,CalibrationAccuracy
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg,CalibrationAccuracy
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Status,,23,11,3,13,1600875000,30.10,349.0,61.9,1,0,1,26.6
Status,,23,12,3,2,1599750000,43.60,182.4,29.7,1,0,1,40.1
Status,,23,13,3,12,1601437400,34.70,47.4,29.1,1,0,1,31.2
Status,,23,14,3,4,1605375000,33.10,325.6,28.7,1,0,1,29.6
Status,,23,15,3,14,1598062500,40.90,267.0,28.1,1,0,1,37.4
Status,,23,16,3,22,1600312400,34.00,71.4,18.0,1,0,1,30.5
Status,,23,17,3,21,1604250000,28.90,16.7,5.5,1,0,1,25.4
Status,,23,18,6,23,1575420000,38.60,241.3,77.5,1,0,1,35.1
Status,,23,19,6,4,1575420000,36.70,296.4,65.5,1,0,1,33.2
Status,,23,20,6,19,1575420000,34.10,153.7,49.7,1,0,1,30.6
Status,,23,21,6,6,1575420000,35.40,310.7,39.5,1,0,1,31.9
Status,,23,22,6,31,1575420000,34.80,231.6,24.8,1,0,1,31.3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,1
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1599750016,3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1598062464,3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1604812544,3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1575420032,6
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1601437440,3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1600312448,3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1600875008,3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1605374976,3
Agc,,2942062618,18,,,,,,,48206,7.800000190734863,1604249984,3
Fix,GPS,40.0356398569,-105.2561336383,1608.0,0.53999996,16.836735,41.0,1758760577009,0.3,180.0,3587383072074791,13.0,0,,,
Fix,FLP,40.0356399000,-105.2561336000,1604.5999755859375,0.53999996,29.218,41.0,1758760577288,0.3,180.0,3587383072074791,0.8091641,0,,,
Status,1758760577009,24,0,1,7,1575420000,42.10,323.4,64.2,1,0,1,38.6
Status,1758760577009,24,1,1,9,1575420000,42.40,186.3,62.1,1,0,1,38.9
Status,1758760577009,24,2,1,8,1575420000,37.60,103.2,51.9,1,0,1,34.1
Status,1758760577009,24,3,1,30,1575420000,41.00,297.6,36.0,1,0,1,37.5
Status,1758760577009,24,4,1,27,1575420000,40.40,60.6,35.3,1,0,1,36.9
Status,1758760577009,24,5,1,4,1575420000,36.70,154.2,26.9,1,0,1,33.2
Status,1758760577009,24,6,1,21,1575420000,36.00,291.7,18.5,1,0,1,32.5
Status,1758760577009,24,7,1,14,1575420000,38.60,238.3,17.2,1,0,1,35.1
Status,1758760577009,24,8,1,16,1575420000,33.70,50.9,15.8,1,0,1,30.2
